80	80	29	965	970
80	80	28	965	970
80	80	28	965	970
80	80	26	965	970
80	80	26	965	970
80	80	28	965	970
80	80	80	965	965
80	80	80	965	965
80	80	80	965	965
80	80	80	965	965
80	80	80	965	965
53	80	80	968	965
47	80	80	969	965
43	80	80	969	965
39	80	80	970	965
37	80	80	970	965
39	80	80	970	965
80	80	80	965	965
80	80	80	965	965
80	80	80	965	965
80	80	80	965	965
80	80	61	965	967
80	80	54	965	968
80	80	47	965	969
80	80	39	965	970
80	80	32	965	970
80	80	28	965	970
80	80	30	965	970
80	80	80	965	965
74	80	80	966	965
63	80	80	967	965
52	80	80	968	965
42	80	80	969	965
35	80	80	970	965
30	80	80	970	965
29	80	80	970	965
80	80	80	965	965
80	80	79	965	966
80	80	53	965	968
80	80	41	965	969
80	80	29	965	970
80	80	25	965	970
80	80	80	965	965
68	80	80	967	965
53	80	80	968	965
44	80	80	969	965
36	80	80	970	965
31	80	80	970	965
80	80	80	965	965
80	80	80	965	965
80	80	57	965	968
80	80	44	965	969
80	80	35	965	970
80	80	30	965	970
80	80	80	965	965
80	80	80	965	965
62	80	80	967	965
54	80	80	968	965
46	80	80	969	965
40	80	80	969	965
34	80	80	970	965
31	80	80	970	965
34	80	80	970	965
80	80	80	965	965
80	80	59	965	968
80	80	44	965	969
80	80	34	965	970
80	80	28	965	970
80	80	33	965	970
80	80	80	965	965
62	80	80	967	965
54	80	80	968	965
44	80	80	969	965
33	80	80	970	965
23	80	80	970	965
16	80	80	970	965
15	80	80	970	965
80	80	80	965	965
80	80	69	965	967
80	80	52	965	968
80	80	36	965	970
80	27	26	975	975
80	19	21	975	975
80	16	20	975	975
33	18	23	975	975
80	25	5	975	975
80	80	34	965	970
80	80	80	965	965
50	80	80	968	965
35	80	80	970	965
24	80	80	970	965
17	80	80	970	965
14	80	80	970	965
27	80	80	970	965
80	80	80	965	965
80	80	54	965	968
80	80	42	965	969
80	80	33	965	970
80	80	26	965	970
80	80	24	965	970
80	80	34	965	970
